player,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS,Sand Save Percentage-ROUNDS,Sand Save Percentage-%,Sand Save Percentage-# SAVES,Sand Save Percentage-# BUNKERS,Sand Save Percentage-TOTAL O/U PAR,Sand Saves from < 10 yards-ROUNDS,Sand Saves from < 10 yards-%,Sand Saves from < 10 yards-# OF SAVES,Sand Saves from < 10 yards-# OF BUNKERS,Proximity to Hole from Fringe-ROUNDS,Proximity to Hole from Fringe-AVG DTP,Proximity to Hole from Fringe-TOTAL DISTANCE (FEET),Proximity to Hole from Fringe-# OF SHOTS,Proximity to Hole from Fringe-SCRAMBLING RANK,Proximity to Hole from Rough-ROUNDS,Proximity to Hole from Rough-AVG DTP,Proximity to Hole from Rough-TOTAL DISTANCE (FEET),Proximity to Hole from Rough-# OF SHOTS,Proximity to Hole from Rough-SCRAMBLING RANK,Scrambling > 30 yds (RTP Score)-ROUNDS,Scrambling > 30 yds (RTP Score)-AVG RTP,Scrambling > 30 yds (RTP Score)-TOTAL HOLES,Scrambling > 30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from Sand-ROUNDS,Proximity to Hole from Sand-AVG DTP,Proximity to Hole from Sand-TOTAL DISTANCE (FEET),Proximity to Hole from Sand-# OF SHOTS,Proximity to Hole from Sand-SCRAMBLING RANK,Proximity to Hole (ARG)-ROUNDS,Proximity to Hole (ARG)-AVG DTP,Proximity to Hole (ARG)-TOTAL DISTANCE (FEET),Proximity to Hole (ARG)-# OF SHOTS,Proximity to Hole (ARG)-SCRAMBLING RANK,Sand Saves from 20-30 yards-ROUNDS,Sand Saves from 20-30 yards-%,Sand Saves from 20-30 yards-# OF SAVES,Sand Saves from 20-30 yards-# OF BUNKERS,Scrambling from < 10 yards-ROUNDS,Scrambling from < 10 yards-%,Scrambling from < 10 yards-SUCCESSES,Scrambling from < 10 yards-ATTEMPTS,Scrambling from the Rough-ROUNDS,Scrambling from the Rough-%,Scrambling from the Rough-SUCCESSES,Scrambling from the Rough-ATTEMPTS,Scrambling from > 30 yards-ROUNDS,Scrambling from > 30 yards-%,Scrambling from > 30 yards-SUCCESSES,Scrambling from > 30 yards-ATTEMPTS,Scrambling from the Fringe-ROUNDS,Scrambling from the Fringe-%,Scrambling from the Fringe-SUCCESSES,Scrambling from the Fringe-ATTEMPTS,Proximity to Hole from 30+ yards-ROUNDS,Proximity to Hole from 30+ yards-AVG DTP,Proximity to Hole from 30+ yards-TOTAL DISTANCE (FEET),Proximity to Hole from 30+ yards-# OF SHOTS,Proximity to Hole from 30+ yards-SCRAMBLING RANK,Scrambling Average Distance to Hole-ROUNDS,Scrambling Average Distance to Hole-AVG DTP,Scrambling Average Distance to Hole-TOTAL DISTANCE (FEET),Scrambling Average Distance to Hole-ATTEMPTS,Proximity to Hole from Other Locations-ROUNDS,Proximity to Hole from Other Locations-AVG DTP,Proximity to Hole from Other Locations-TOTAL DISTANCE (FEET),Proximity to Hole from Other Locations-# OF SHOTS,Proximity to Hole from Other Locations-SCRAMBLING RANK,Scrambling 10-20 yds (RTP Score)-ROUNDS,Scrambling 10-20 yds (RTP Score)-AVG RTP,Scrambling 10-20 yds (RTP Score)-TOTAL HOLES,Scrambling 10-20 yds (RTP Score)-TOTAL RTP,Sand Saves from 10-20 yards-ROUNDS,Sand Saves from 10-20 yards-%,Sand Saves from 10-20 yards-# OF SAVES,Sand Saves from 10-20 yards-# OF BUNKERS,Scrambling from 10-20 yards-ROUNDS,Scrambling from 10-20 yards-%,Scrambling from 10-20 yards-SUCCESSES,Scrambling from 10-20 yards-ATTEMPTS,Proximity to Hole from 20-30 yards-ROUNDS,Proximity to Hole from 20-30 yards-AVG DTP,Proximity to Hole from 20-30 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 20-30 yards-# OF SHOTS,Proximity to Hole from 20-30 yards-SCRAMBLING RANK,Scrambling Rough (RTP Score)-ROUNDS,Scrambling Rough (RTP Score)-AVG RTP,Scrambling Rough (RTP Score)-TOTAL HOLES,Scrambling Rough (RTP Score)-TOTAL RTP,Scrambling from Other Locations-ROUNDS,Scrambling from Other Locations-%,Scrambling from Other Locations-SUCCESSES,Scrambling from Other Locations-ATTEMPTS,Scrambling from 20-30 yards-ROUNDS,Scrambling from 20-30 yards-%,Scrambling from 20-30 yards-SUCCESSES,Scrambling from 20-30 yards-ATTEMPTS,Proximity to Hole from 10-20 yards-ROUNDS,Proximity to Hole from 10-20 yards-AVG DTP,Proximity to Hole from 10-20 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 10-20 yards-# OF SHOTS,Proximity to Hole from 10-20 yards-SCRAMBLING RANK,Scrambling 20-30 yds (RTP Score)-ROUNDS,Scrambling 20-30 yds (RTP Score)-AVG RTP,Scrambling 20-30 yds (RTP Score)-TOTAL HOLES,Scrambling 20-30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from < 10 yards-ROUNDS,Proximity to Hole from < 10 yards-AVG DTP,Proximity to Hole from < 10 yards-TOTAL DISTANCE (FEET),Proximity to Hole from < 10 yards-# OF SHOTS,Proximity to Hole from < 10 yards-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling from the Sand-SUCCESSES,Scrambling from the Sand-ATTEMPTS,Scrambling Fringe (RTP Score)-ROUNDS,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL HOLES,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling-ROUNDS,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR,Sand Saves from 30+ yards-ROUNDS,Sand Saves from 30+ yards-%,Sand Saves from 30+ yards-# OF SAVES,Sand Saves from 30+ yards-# OF BUNKERS
D.J. Trahan,37,-.077,-1.766,23,37,43.33,26,60,+22.00,37,20.00,1,5,37,"4' 2""",70.583,17,136,37,"8' 11""",321.750,36,136,37,+.950,20,+19.00,37,"9' 5""",348.417,37,136,37,"7' 4""",880.667,120,136,37,30.77,4,13,37,70.97,22,31,37,57.14,44,77,37,20.00,4,20,37,87.50,21,24,37,"7' 7""",136.917,18,136,37,"8' 1""",819.000,101,37,"4' 8""",1.679,30,136,37,+.244,45,+11.00,37,60.00,12,20,37,68.89,31,45,37,"12' 1""",217.500,18,136,37,+.455,77,+35.00,37,57.14,28,49,37,36.84,7,19,37,"7' 1""",404.583,57,136,37,+.632,19,+12.00,37,"4' 6""",121.667,27,136,37,46.34,19,41,37,+.125,24,+3.00,37,58.03,112,193,37,40.00,2,5
Graeme McDowell,30,-.077,-1.465,19,30,29.41,15,51,+29.00,30,100.00,2,2,30,"2' 8""",42.083,16,209,30,"9' 0""",424.583,47,209,30,+.917,24,+22.00,30,"11' 1""",387.917,35,209,30,"8' 3""","1,133.333",138,209,30,23.08,3,13,30,86.67,26,30,30,47.17,25,53,30,25.00,6,24,30,93.75,15,16,30,"12' 7""",301.667,24,209,30,"8' 7""",988.083,115,30,"7' 0""",3.345,40,209,30,+.391,46,+18.00,30,34.78,8,23,30,60.87,28,46,30,"12' 0""",336.333,28,209,30,+.585,53,+31.00,30,60.32,38,63,30,25.93,7,27,30,"6' 7""",363.417,55,209,30,+.741,27,+20.00,30,"4' 3""",131.917,31,209,30,35.29,12,34,30,-.063,16,-1.00,30,53.40,102,191,30,.00,0,3
Rickie Fowler,22,-.077,-1.459,19,22,45.00,18,40,+15.00,22,50.00,1,2,22,"4' 0""",51.667,13,84,22,"6' 7""",243.833,37,84,22,+1.000,17,+17.00,22,"11' 10""",354.083,30,84,22,"7' 3""",895.333,123,84,22,33.33,4,12,22,90.00,18,20,22,60.98,25,41,22,23.53,4,17,22,91.67,11,12,22,"11' 2""",179.083,16,84,22,"8' 7""",937.500,109,22,"5' 9""",2.949,43,84,22,+.352,54,+19.00,22,50.00,8,16,22,64.81,35,54,22,"8' 7""",275.500,32,84,22,+.390,41,+16.00,22,62.50,30,48,22,59.26,16,27,22,"6' 8""",368.583,55,84,22,+.407,27,+11.00,22,"3' 7""",72.167,20,84,22,46.67,14,30,22,+.083,12,+1.00,22,61.07,80,131,22,.00,0,4
Tom Hoge,44,-.084,-3.018,36,44,48.65,36,74,+30.00,44,.00,0,1,44,"2' 11""",61.417,21,18,44,"7' 9""",688.167,89,18,44,+.917,24,+22.00,44,"10' 6""",554.500,53,18,44,"7' 6""","1,670.583",223,18,44,33.33,5,15,44,89.36,42,47,44,64.55,71,110,44,29.17,7,24,44,95.24,20,21,44,"13' 6""",202.333,15,18,44,"8' 10""","1,831.333",207,44,"6' 1""",4.398,60,18,44,+.308,104,+32.00,44,51.16,22,43,44,68.27,71,104,44,"10' 6""",566.417,54,18,44,+.364,110,+40.00,44,67.05,59,88,44,47.83,22,46,44,"6' 9""",740.250,109,18,44,+.543,46,+25.00,44,"3' 7""",161.583,45,18,44,54.72,29,53,44,-.048,21,-1.00,44,65.57,179,273,44,33.33,1,3
Andrew Landry,37,-.094,-2.827,30,37,39.62,21,53,+22.00,37,20.00,1,5,37,"3' 3""",78.500,24,64,37,"7' 2""",446.667,62,64,37,+.882,17,+15.00,37,"11' 8""",453.917,39,64,37,"7' 5""","1,504.917",203,64,37,40.00,4,10,37,78.00,39,50,37,64.94,50,77,37,35.29,6,17,37,88.46,23,26,37,"14' 8""",337.083,23,64,37,"7' 7""","1,331.583",176,37,"6' 9""",6.310,78,64,37,+.318,88,+28.00,37,47.83,11,23,37,65.91,58,88,37,"8' 11""",339.833,38,64,37,+.377,77,+29.00,37,63.95,55,86,37,41.94,13,31,37,"6' 8""",628.833,94,64,37,+.581,31,+18.00,37,"4' 2""",199.167,48,64,37,34.21,13,38,37,E,26,E,37,61.84,141,228,37,33.33,2,6
Sam Ryder,52,-.095,-3.617,38,52,46.58,34,73,+26.00,52,40.00,2,5,52,"3' 6""",38.500,11,82,52,"9' 0""",713.500,79,82,52,+1.000,44,+44.00,52,"10' 4""",516.583,50,82,52,"8' 6""","1,988.333",233,82,52,46.43,13,28,52,87.23,41,47,52,59.46,66,111,52,25.00,11,44,52,91.67,22,24,52,"11' 9""",398.667,34,82,52,"8' 3""","1,644.667",200,52,"7' 9""",8.637,93,82,52,+.395,76,+30.00,52,52.38,11,21,52,60.53,46,76,52,"10' 7""",775.417,73,82,52,+.459,111,+51.00,52,61.11,77,126,52,59.32,35,59,52,"7' 10""",664.583,85,82,52,+.424,59,+25.00,52,"3' 8""",149.667,41,82,52,52.08,25,48,52,-.042,24,-1.00,52,61.09,190,311,52,25.00,1,4
Andrew Putnam,32,-.103,-1.858,18,32,53.57,30,56,+25.00,32,100.00,2,2,32,"2' 6""",25.333,10,38,32,"11' 3""",327.417,29,38,32,+.696,23,+16.00,32,"9' 8""",309.083,32,38,32,"8' 5""","1,013.833",121,38,32,44.44,4,9,32,83.33,15,18,32,66.67,22,33,32,43.48,10,23,32,92.31,12,13,32,"13' 1""",248.000,19,38,32,"8' 7""",870.000,101,32,"7' 0""",4.224,50,38,32,+.304,46,+14.00,32,50.00,8,16,32,69.57,32,46,32,"9' 4""",336.667,36,38,32,+.364,33,+12.00,32,78.26,36,46,32,76.00,19,25,32,"7' 6""",343.417,46,38,32,+.280,25,+7.00,32,"4' 3""",85.750,20,38,32,45.16,14,31,32,+.077,13,+1.00,32,64.21,122,190,32,14.29,1,7
Joaquin Niemann,42,-.103,-3.189,31,42,53.03,35,66,+15.00,42,.00,0,2,42,"2' 10""",57.167,20,119,42,"9' 6""",553.000,58,119,42,+.733,30,+22.00,42,"11' 7""",509.917,44,119,42,"8' 4""","1,551.167",186,119,42,58.33,7,12,42,87.88,29,33,42,56.60,30,53,42,30.00,9,30,42,85.71,18,21,42,"13' 1""",431.000,33,119,42,"8' 5""","1,258.833",150,42,"6' 9""",5.173,64,119,42,+.315,73,+23.00,42,60.71,17,28,42,68.49,50,73,42,"9' 9""",378.667,39,119,42,+.472,53,+25.00,42,55.26,42,76,42,43.33,13,30,42,"7' 7""",622.000,82,119,42,+.633,30,+19.00,42,"3' 9""",119.500,32,119,42,56.76,21,37,42,+.048,21,+1.00,42,58.67,132,225,42,25.00,2,8
"Ted Potter, Jr.",30,-.105,-2.100,20,30,41.07,23,56,+20.00,30,33.33,1,3,30,"2' 0""",11.917,6,54,30,"7' 9""",278.583,36,54,30,+.762,21,+16.00,30,"10' 4""",320.750,31,54,30,"7' 4""",797.000,109,54,30,40.00,4,10,30,86.21,25,29,30,62.96,34,54,30,38.10,8,21,30,100.00,17,17,30,"11' 3""",135.083,12,54,30,"8' 2""",782.333,96,30,"5' 2""",2.229,36,54,30,+.432,44,+19.00,30,47.37,9,19,30,59.09,26,44,30,"7' 6""",157.833,21,54,30,+.481,54,+26.00,30,71.11,32,45,30,43.75,7,16,30,"7' 6""",369.333,49,54,30,+.563,16,+9.00,30,"5' 0""",134.750,27,54,30,45.00,18,40,30,-.059,17,-1.00,30,62.73,101,161,30,20.00,1,5
David Hearn,39,-.107,-2.572,24,39,42.00,21,50,+23.00,39,33.33,1,3,39,"2' 2""",28.667,13,30,39,"8' 8""",539.000,62,30,39,+.941,17,+16.00,39,"12' 9""",330.833,26,30,39,"7' 11""","1,207.167",152,30,39,23.08,3,13,39,86.67,26,30,39,69.32,61,88,39,11.76,2,17,39,90.00,27,30,39,"13' 4""",253.667,19,30,39,"8' 0""","1,027.667",128,39,"6' 1""",3.704,51,30,39,+.317,63,+20.00,39,33.33,4,12,39,73.02,46,63,39,"11' 4""",489.000,43,30,39,+.318,88,+28.00,39,64.71,44,68,39,44.44,12,27,39,"6' 1""",380.833,63,30,39,+.556,27,+15.00,39,"3' 1""",83.667,27,30,39,35.90,14,39,39,+.067,30,+2.00,39,64.60,146,226,39,.00,0,1
Aaron Wise,31,-.113,-2.253,20,31,51.16,22,43,+6.00,31,100.00,1,1,31,"3' 10""",34.250,9,168,31,"10' 4""",508.000,49,168,31,+.867,15,+13.00,31,"9' 9""",273.083,28,168,31,"8' 8""","1,036.167",119,168,31,50.00,5,10,31,90.91,10,11,31,59.38,38,64,31,26.67,4,15,31,72.73,8,11,31,"12' 4""",259.833,21,168,31,"9' 1""",843.500,93,31,"6' 8""",2.650,33,168,31,+.385,52,+20.00,31,52.63,10,19,31,63.46,33,52,31,"11' 5""",332.000,29,168,31,+.391,64,+25.00,31,53.70,29,54,31,26.09,6,23,31,"7' 5""",399.333,54,168,31,+.826,23,+19.00,31,"3' 0""",45.000,15,168,31,50.00,14,28,31,+.091,11,+1.00,31,56.69,89,157,31,.00,0,3
Matthew NeSmith,50,-.114,-4.116,36,50,48.15,39,81,+19.00,50,.00,0,4,50,"4' 5""",132.333,30,62,50,"9' 0""",631.333,70,62,50,+.778,27,+21.00,50,"9' 2""",529.500,58,62,50,"7' 7""","1,677.083",222,62,50,54.55,12,22,50,77.78,28,36,50,54.55,48,88,50,33.33,9,27,50,72.97,27,37,50,"11' 8""",292.667,25,62,50,"8' 3""","1,540.583",186,50,"6' 0""",4.607,64,62,50,+.366,93,+34.00,50,51.43,18,35,50,65.59,61,93,50,"9' 9""",644.083,66,62,50,+.511,88,+45.00,50,73.08,57,78,50,63.64,28,44,50,"6' 6""",628.500,97,62,50,+.386,44,+17.00,50,"3' 3""",111.833,34,62,50,54.39,31,57,50,+.189,37,+7.00,50,61.98,163,263,50,14.29,1,7
Denny McCarthy,52,-.125,-4.988,40,52,48.35,44,91,+33.00,52,55.56,5,9,52,"2' 11""",34.667,12,113,52,"9' 0""",638.000,71,113,52,+.719,57,+41.00,52,"9' 11""",686.583,69,113,52,"8' 7""","2,024.500",235,113,52,54.55,12,22,52,83.78,31,37,52,62.24,61,98,52,42.11,24,57,52,100.00,16,16,52,"9' 10""",460.750,47,113,52,"10' 0""","1,959.167",196,52,"8' 0""",7.983,83,113,52,+.419,74,+31.00,52,45.00,18,40,52,58.11,43,74,52,"10' 8""",712.833,67,113,52,+.306,98,+30.00,52,57.66,64,111,52,57.41,31,54,52,"8' 5""",732.000,87,113,52,+.426,54,+23.00,52,"3' 6""",118.917,34,113,52,48.48,32,66,52,-.125,16,-2.00,52,59.04,173,293,52,45.45,5,11
Beau Hossler,53,-.129,-4.507,35,53,52.81,47,89,+31.00,53,100.00,3,3,53,"2' 4""",42.167,18,130,53,"9' 7""",739.667,77,130,53,+.875,48,+42.00,53,"9' 2""",534.000,58,130,53,"8' 2""","1,897.833",232,130,53,50.00,9,18,53,93.48,43,46,53,54.63,59,108,53,33.33,16,48,53,92.11,35,38,53,"13' 8""",478.583,35,130,53,"8' 8""","1,747.417",201,53,"7' 4""",6.984,79,130,53,+.427,82,+35.00,53,51.52,17,33,53,57.32,47,82,53,"7' 9""",489.750,63,130,53,+.500,108,+54.00,53,55.36,62,112,53,49.02,25,51,53,"8' 6""",800.417,94,130,53,+.549,51,+28.00,53,"3' 3""",129.083,40,130,53,53.62,37,69,53,+.053,38,+2.00,53,58.31,193,331,53,42.86,3,7
Bo Van Pelt,28,-.133,-2.122,16,28,25.00,10,40,+29.00,28,.00,0,4,28,"5' 2""",46.750,9,223,28,"8' 4""",358.250,43,223,28,+1.148,27,+31.00,28,"13' 0""",311.750,24,223,28,"8' 3""",929.750,113,223,28,22.22,2,9,28,78.26,18,23,28,53.97,34,63,28,14.81,4,27,28,87.50,14,16,28,"11' 3""",235.417,21,223,28,"9' 11""",972.000,98,28,"5' 9""",2.556,37,223,28,+.435,46,+20.00,28,21.43,3,14,28,54.35,25,46,28,"8' 9""",226.500,26,223,28,+.540,63,+34.00,28,48.61,35,72,28,42.86,9,21,28,"7' 10""",320.250,41,223,28,+.619,21,+13.00,28,"5' 11""",147.583,25,223,28,27.27,9,33,28,+.125,16,+2.00,28,49.73,92,185,28,50.00,2,4
Tyler McCumber,45,-.140,-4.206,30,45,37.31,25,67,+27.00,45,75.00,3,4,45,"2' 8""",29.583,11,154,45,"8' 2""",579.750,71,154,45,+.969,32,+31.00,45,"12' 3""",490.333,40,154,45,"8' 2""","1,394.750",171,154,45,35.71,5,14,45,90.32,28,31,45,55.65,69,124,45,21.88,7,32,45,91.30,21,23,45,"14' 11""",342.500,23,154,45,"9' 10""","1,440.000",147,45,"6' 0""",3.541,49,154,45,+.364,77,+28.00,45,33.33,9,27,45,62.34,48,77,45,"9' 8""",329.667,34,154,45,+.484,124,+60.00,45,61.64,45,73,45,29.63,8,27,45,"7' 3""",611.667,84,154,45,+.741,27,+20.00,45,"3' 8""",110.917,30,154,45,36.36,16,44,45,+.043,23,+1.00,45,57.20,151,264,45,20.00,1,5
Scott Piercy,48,-.140,-4.472,32,48,45.33,34,75,+29.00,48,50.00,3,6,48,"3' 5""",94.583,28,102,48,"7' 7""",495.000,65,102,48,+.867,30,+26.00,48,"12' 2""",582.167,48,102,48,"7' 6""","1,649.167",219,102,48,61.54,8,13,48,88.89,40,45,48,59.52,50,84,48,26.67,8,30,48,87.10,27,31,48,"11' 11""",298.333,25,102,48,"9' 0""","1,704.417",190,48,"6' 1""",5.729,78,102,48,+.304,92,+28.00,48,38.46,10,26,48,66.30,61,92,48,"12' 1""",578.083,48,102,48,+.429,84,+36.00,48,64.63,53,82,48,48.72,19,39,48,"6' 2""",607.667,98,102,48,+.513,39,+20.00,48,"3' 5""",165.083,48,102,48,45.65,21,46,48,+.097,31,+3.00,48,59.73,175,293,48,60.00,3,5
Vaughn Taylor,49,-.144,-4.603,32,49,47.66,51,107,+47.00,49,33.33,3,9,49,"2' 8""",50.500,19,133,49,"8' 0""",498.083,62,133,49,+.933,30,+28.00,49,"10' 3""",594.083,58,133,49,"7' 8""","1,541.167",200,133,49,52.63,10,19,49,82.22,37,45,49,59.55,53,89,49,33.33,10,30,49,86.96,20,23,49,"13' 7""",299.000,22,133,49,"10' 3""","2,014.583",197,49,"6' 6""",4.782,61,133,49,+.351,97,+34.00,49,48.65,18,37,49,62.89,61,97,49,"9' 3""",378.500,41,133,49,+.438,89,+39.00,49,56.98,49,86,49,41.86,18,43,49,"7' 4""",683.917,93,133,49,+.628,43,+27.00,49,"4' 1""",179.750,44,133,49,48.48,32,66,49,+.087,23,+2.00,49,58.23,184,316,49,28.57,2,7
Sepp Straka,40,-.144,-4.612,32,40,50.82,31,61,+19.00,40,40.00,2,5,40,"2' 11""",69.667,24,76,40,"7' 8""",435.750,57,76,40,+.846,26,+22.00,40,"11' 6""",506.000,44,76,40,"7' 5""","1,388.667",187,76,40,53.33,8,15,40,89.13,41,46,40,63.89,46,72,40,26.92,7,26,40,91.18,31,34,40,"15' 5""",338.833,22,76,40,"8' 7""","1,398.750",163,40,"6' 1""",4.527,62,76,40,+.449,69,+31.00,40,50.00,13,26,40,59.42,41,69,40,"6' 8""",300.250,45,76,40,+.375,72,+27.00,40,51.19,43,84,40,66.67,26,39,40,"6' 11""",514.333,74,76,40,+.385,39,+15.00,40,"5' 1""",235.250,46,76,40,57.78,26,45,40,+.029,34,+1.00,40,61.34,146,238,40,60.00,3,5
Mark Anderson,37,-.150,-4.046,27,37,58.33,35,60,+18.00,37,50.00,1,2,37,"1' 8""",14.833,9,8,37,"7' 8""",476.083,62,8,37,+.560,25,+14.00,37,"10' 3""",450.250,44,8,37,"7' 5""","1,219.000",165,8,37,43.75,7,16,37,90.24,37,41,37,65.82,52,79,37,52.00,13,25,37,91.30,21,23,37,"9' 8""",203.333,21,8,37,"8' 9""","1,317.167",151,37,"5' 7""",3.334,50,8,37,+.388,67,+26.00,37,62.07,18,29,37,65.67,44,67,37,"10' 10""",390.000,36,8,37,+.380,79,+30.00,37,64.29,45,70,37,56.67,17,30,37,"6' 6""",440.833,68,8,37,+.433,30,+13.00,37,"4' 7""",184.833,40,8,37,63.46,33,52,37,E,23,E,37,67.11,151,225,37,75.00,3,4
Ben Taylor,36,-.150,-3.308,22,36,49.09,27,55,+23.00,36,66.67,2,3,36,"2' 11""",29.000,10,138,36,"7' 10""",298.750,38,138,36,+.905,21,+19.00,36,"8' 9""",280.083,32,138,36,"7' 6""",843.917,112,138,36,35.71,5,14,36,88.46,23,26,36,53.52,38,71,36,14.29,3,21,36,91.67,22,24,36,"15' 7""",124.417,8,138,36,"8' 11""",910.583,102,36,"7' 5""",2.833,32,138,36,+.396,48,+19.00,36,42.11,8,19,36,60.42,29,48,36,"10' 2""",264.417,26,138,36,+.521,71,+37.00,36,53.45,31,58,36,52.17,12,23,36,"7' 3""",369.333,51,138,36,+.522,23,+12.00,36,"3' 2""",85.750,27,138,36,52.38,22,42,36,-.083,24,-2.00,36,57.95,113,195,36,100.00,1,1
Shawn Stefani,26,-.154,-1.998,13,26,55.32,26,47,+12.00,26,.00,0,3,26,"3' 1""",9.333,3,116,26,"9' 11""",317.083,32,116,26,+1.154,13,+15.00,26,"8' 5""",169.000,20,116,26,"8' 10""",716.167,81,116,26,62.50,5,8,26,73.33,11,15,26,50.85,30,59,26,.00,0,13,26,90.00,9,10,26,"15' 3""",275.167,18,116,26,"9' 11""",632.000,64,26,"8' 6""",2.649,26,116,26,+.379,29,+11.00,26,50.00,4,8,26,65.52,19,29,26,"6' 10""",150.750,22,116,26,+.542,59,+32.00,26,57.14,24,42,26,64.29,9,14,26,"8' 0""",240.417,30,116,26,+.286,14,+4.00,26,"4' 6""",49.833,11,116,26,68.57,24,35,26,E,10,E,26,58.78,87,148,26,33.33,1,3
Zach Johnson,37,-.161,-4.838,30,37,57.89,33,57,+24.00,37,40.00,2,5,37,"2' 10""",31.250,11,36,37,"8' 9""",402.833,46,36,37,+.688,32,+22.00,37,"9' 7""",392.917,41,36,37,"7' 6""","1,246.417",167,36,37,64.29,9,14,37,78.13,25,32,37,60.29,41,68,37,40.63,13,32,37,93.33,14,15,37,"8' 9""",175.333,20,36,37,"9' 10""","1,574.083",160,37,"6' 1""",5.033,69,36,37,+.387,75,+29.00,37,59.26,16,27,37,70.67,53,75,37,"9' 7""",440.833,46,36,37,+.485,68,+33.00,37,63.33,57,90,37,62.79,27,43,37,"6' 11""",502.917,73,36,37,+.419,43,+18.00,37,"4' 7""",127.333,28,36,37,62.50,30,48,37,-.067,15,-1.00,37,64.25,142,221,37,80.00,4,5
Matt Every,30,-.164,-4.276,26,30,35.19,19,54,+33.00,30,14.29,1,7,30,"3' 7""",50.667,14,225,30,"9' 11""",603.750,61,225,30,+1.000,38,+38.00,30,"12' 1""",458.833,38,225,30,"8' 10""","1,466.500",166,225,30,30.00,3,10,30,80.00,28,35,30,50.00,33,66,30,23.68,9,38,30,84.62,11,13,30,"9' 6""",238.000,25,225,30,"10' 7""","1,459.417",138,30,"6' 8""",4.239,53,225,30,+.443,61,+27.00,30,42.86,12,28,30,54.10,33,61,30,"12' 5""",434.083,35,225,30,+.515,66,+34.00,30,46.38,32,69,30,32.14,9,28,30,"8' 5""",597.000,71,225,30,+.786,28,+22.00,30,"5' 8""",197.417,35,225,30,36.84,14,38,30,+.077,13,+1.00,30,48.13,90,187,30,25.00,1,4
Hank Lebioda,39,-.165,-4.130,25,39,46.58,34,73,+24.00,39,33.33,1,3,39,"3' 0""",24.083,8,182,39,"8' 1""",573.167,71,182,39,+.903,31,+28.00,39,"8' 11""",400.083,45,182,39,"8' 1""","1,405.417",174,182,39,33.33,6,18,39,83.87,26,31,39,60.00,63,105,39,29.03,9,31,39,80.00,16,20,39,"10' 9""",258.583,24,182,39,"9' 10""","1,508.250",153,39,"8' 2""",4.897,50,182,39,+.377,69,+26.00,39,42.31,11,26,39,60.87,42,69,39,"11' 5""",455.833,40,182,39,+.419,105,+44.00,39,50.72,35,69,39,33.33,12,36,39,"7' 0""",561.167,80,182,39,+.694,36,+25.00,39,"4' 4""",129.833,30,182,39,46.15,24,52,39,+.200,20,+4.00,39,55.65,138,248,39,75.00,3,4
Jhonattan Vegas,36,-.166,-3.819,23,36,39.68,25,63,+24.00,36,.00,0,2,36,"2' 1""",14.750,7,172,36,"7' 5""",372.500,50,172,36,+.933,15,+14.00,36,"10' 11""",448.750,41,172,36,"8' 0""","1,171.083",147,172,36,21.43,3,14,36,75.00,21,28,36,52.63,40,76,36,20.00,3,15,36,93.75,15,16,36,"13' 4""",160.167,12,172,36,"8' 7""","1,163.083",135,36,"6' 10""",4.021,49,172,36,+.347,72,+25.00,36,50.00,14,28,36,62.50,45,72,36,"10' 1""",323.250,32,172,36,+.447,76,+34.00,36,65.63,42,64,36,33.33,10,30,36,"7' 9""",599.583,77,172,36,+.633,30,+19.00,36,"3' 5""",88.083,26,172,36,37.50,15,40,36,-.063,16,-1.00,36,56.04,116,207,36,.00,0,4
Gary Woodland,34,-.180,-4.496,25,34,57.41,31,54,+14.00,34,50.00,1,2,34,"2' 9""",46.083,17,17,34,"8' 5""",410.750,49,17,34,+.821,28,+23.00,34,"7' 6""",240.333,32,17,34,"6' 11""",983.917,142,17,34,61.54,8,13,34,90.32,28,31,34,65.12,28,43,34,35.71,10,28,34,100.00,15,15,34,"11' 7""",208.583,18,17,34,"7' 1""",777.000,110,34,"6' 6""",3.441,44,17,34,+.370,46,+17.00,34,52.63,10,19,34,67.39,31,46,34,"7' 2""",259.417,36,17,34,+.372,43,+16.00,34,51.92,27,52,34,55.56,15,27,34,"7' 0""",421.667,60,17,34,+.519,27,+14.00,34,"3' 4""",94.250,28,17,34,65.38,17,26,34,-.067,15,-1.00,34,65.68,111,169,34,75.00,3,4
